Soil Type,pH Level,Nitrogen (N),Phosphorus (P),Potassium (K),Organic Matter (%),Soil Moisture (%),Crop Type,Growth Stage,Temperature (°C),Rainfall (mm),Humidity (%),Sunlight (hours),Fertilizer Type,Fertilizer Amount (kg/ha),Yield (kg/ha),Cost (USD),Profit (USD)
Loamy,5.9,61.93,37.12,42.58,3.17,20.81,Maize,Maturity,21.47,89.85,67.66,6.23,Inorganic,210.21,3035.9,228.06,1539.79
Clay,5.69,65.03,34.03,33.03,1.72,21.31,Barley,Maturity,28.76,139.81,58.54,6.4,Mixed,217.14,3471.42,258.17,1991.12
Loamy,5.74,50.4,30.86,42.25,2.48,21.98,Soybean,Flowering,22.79,122.73,74.72,5.14,Mixed,101.7,3861.96,160.75,1242.22
Clay,7.07,49.61,32.04,35.97,3.33,24.31,Rice,Maturity,31.37,87.17,63.23,6.17,Inorganic,163.06,2806.77,173.9,1367.23
Loamy,6.2,54.86,30.57,37.44,2.83,25.03,Barley,Vegetative,29.47,100.89,82.67,6.43,Mixed,245.54,4482.76,240.49,1463.84
Sandy,5.95,59.17,39.43,46.18,2.59,24.67,Oats,Vegetative,25.82,70.24,65.25,5.43,Mixed,198.15,4236.35,167.47,1271.91
Loamy,6.21,44.25,36.32,49.47,2.94,18.26,Wheat,Vegetative,21.47,58.13,73.67,5.06,Mixed,233.61,3971.92,254.88,1753.7
Loamy,6.79,50.19,35.63,47.4,2.82,27.98,Rice,Flowering,31.51,96.74,79.72,7.51,Mixed,156.87,4477.58,247.48,1246.91
Loamy,6.59,53.4,30.35,36.52,3.38,30.8,Maize,Maturity,21.16,149.32,80.22,5.91,Inorganic,116.82,2669.54,210.2,1376.34
Loamy,6.99,69.54,26.64,39.07,3.33,24.23,Corn,Maturity,24.11,137.04,69.38,6.16,Inorganic,125.59,2604.56,267.01,1900.08
Loamy,6.18,53.51,20.39,49.67,2.3,31.77,Barley,Fruit development,23.8,51.66,78.12,9.9,Inorganic,150.99,3013.68,195.6,1446.27
Sandy,6.4,38.97,20.87,48.47,1.56,23.89,Barley,Germination,28.68,146.98,58.67,5.74,Inorganic,242.55,3172.28,293.19,1590.77
Clay,5.7,53.52,20.6,49.54,2.17,26.37,Wheat,Germination,27.71,96.89,71.08,5.25,Organic,245.38,3830.48,152.63,1407.12
Loamy,5.65,62.78,39.61,38.66,1.91,16.39,Maize,Maturity,24.2,67.89,51.16,9.13,Inorganic,229.26,4494.99,166.21,1231.16
Sandy,6.42,64.3,22.29,46.01,1.76,17.94,Maize,Maturity,26.46,141.49,61.68,6.35,Organic,184.0,4316.34,238.4,1321.52
Loamy,6.1,62.01,22.84,47.42,3.28,30.35,Corn,Vegetative,26.55,142.49,62.1,7.52,Organic,184.25,3801.25,248.77,1415.58
Loamy,6.73,65.53,29.68,30.89,2.92,19.98,Maize,Flowering,28.6,134.69,80.58,9.17,Mixed,225.24,2911.93,298.88,1665.69
Clay,5.59,43.39,29.63,35.32,1.57,16.88,Soybean,Maturity,33.47,112.13,66.58,7.53,Organic,108.51,3611.53,186.13,1718.97
Loamy,5.74,50.3,38.4,47.67,3.34,26.36,Oats,Fruit development,22.13,73.66,75.92,9.46,Organic,163.19,4004.99,266.52,1520.59
Sandy,7.23,61.18,21.47,37.77,3.31,16.89,Corn,Fruit development,28.37,74.1,66.49,8.32,Organic,193.96,4083.5,184.13,1942.14
Sandy,6.63,40.58,39.14,35.57,3.4,28.68,Wheat,Maturity,20.28,146.56,60.99,8.08,Organic,114.37,4479.44,293.04,1349.12
Clay,6.92,44.86,24.33,35.45,3.16,28.78,Wheat,Germination,30.47,77.88,82.88,8.78,Inorganic,112.95,2630.72,215.67,1841.3
Loamy,7.18,63.25,39.4,37.51,1.66,24.06,Rice,Flowering,29.61,92.25,71.86,6.09,Mixed,134.8,4384.74,157.74,1889.62
Sandy,6.43,60.8,30.83,34.88,2.75,28.72,Soybean,Fruit development,30.41,125.28,72.44,5.86,Mixed,187.71,2830.68,184.0,1847.81
Loamy,7.02,68.85,33.04,30.07,1.67,30.99,Barley,Maturity,27.12,132.35,67.19,9.2,Inorganic,225.65,3770.63,207.05,1522.41
Loamy,6.55,69.84,26.31,33.45,2.93,18.95,Soybean,Maturity,22.8,91.14,56.5,9.5,Mixed,190.21,3842.78,199.77,1306.43
Loamy,5.95,39.63,32.24,47.65,1.89,27.99,Oats,Vegetative,26.72,89.56,79.22,5.8,Mixed,199.62,3043.49,212.7,1308.87
Clay,6.18,66.02,34.22,31.51,3.37,28.85,Wheat,Fruit development,20.35,85.7,75.85,7.66,Mixed,148.03,2813.68,243.86,1250.01
Loamy,6.48,33.78,20.21,38.26,3.37,18.89,Maize,Vegetative,25.72,88.84,63.36,5.85,Organic,160.85,3122.78,195.38,1249.13
Sandy,6.13,58.39,20.68,39.13,2.69,29.54,Oats,Flowering,32.58,125.83,82.79,5.15,Mixed,217.91,3092.32,157.63,1610.48
Loamy,6.17,38.8,39.73,45.56,3.01,29.39,Barley,Flowering,25.08,56.19,62.04,7.5,Inorganic,217.1,4083.94,218.56,1236.72
Sandy,6.17,42.01,29.15,35.05,3.22,18.15,Soybean,Fruit development,28.88,130.02,51.36,8.01,Mixed,248.47,2921.61,215.68,1662.18
Loamy,5.75,67.85,38.72,36.19,2.28,21.35,Soybean,Vegetative,23.92,71.48,59.13,7.35,Mixed,101.05,3957.71,226.21,1259.67
Sandy,5.67,40.53,34.6,30.29,2.66,33.82,Maize,Germination,22.01,66.15,62.9,8.91,Inorganic,206.62,2798.68,199.97,1837.96
Sandy,5.59,56.93,27.46,48.06,1.85,16.42,Oats,Vegetative,27.81,62.08,78.71,6.15,Mixed,245.8,3305.27,151.21,1270.78
Loamy,5.72,37.13,23.02,43.71,3.47,19.58,Corn,Fruit development,20.54,73.56,77.57,9.6,Inorganic,236.83,2838.59,206.1,1666.54
Loamy,6.19,33.74,39.56,35.26,3.36,26.58,Maize,Fruit development,33.57,133.39,65.14,7.82,Mixed,154.75,4354.98,190.92,1857.74
Sandy,6.69,43.57,31.69,47.75,2.47,34.37,Rice,Vegetative,31.66,103.8,74.53,7.66,Mixed,171.06,4109.96,224.22,1570.98
Clay,5.88,54.97,23.85,31.73,2.61,20.14,Rice,Maturity,34.97,76.9,57.99,7.26,Inorganic,171.5,2535.1,162.83,1811.51
Loamy,7.28,39.92,33.63,37.37,2.37,31.34,Barley,Maturity,34.9,68.59,81.17,6.08,Mixed,193.03,3216.04,257.55,1638.13
Clay,7.12,42.01,21.84,41.27,1.5,22.35,Wheat,Germination,30.93,126.95,52.15,6.42,Organic,158.51,3197.58,264.34,1727.57
Loamy,6.54,58.35,37.36,40.11,1.96,22.05,Corn,Germination,31.65,100.55,63.96,7.76,Organic,119.99,3455.54,252.73,1548.6
Loamy,6.95,34.11,21.8,43.1,1.7,34.92,Soybean,Germination,27.92,62.03,78.33,8.71,Mixed,226.22,2935.69,266.93,1220.62
Loamy,6.23,47.88,24.72,35.95,2.15,31.34,Barley,Fruit development,23.28,87.52,67.88,5.7,Inorganic,185.33,3567.61,193.29,1870.09
Loamy,5.57,67.67,21.83,45.16,1.97,19.97,Wheat,Fruit development,32.13,94.5,78.48,7.61,Organic,243.46,3138.67,168.4,1900.19
Clay,7.31,45.88,22.08,38.11,3.02,18.71,Wheat,Maturity,24.05,85.4,55.82,5.15,Mixed,140.19,3327.74,179.86,1470.83
Loamy,5.76,47.37,30.48,32.51,2.51,16.68,Barley,Vegetative,29.75,76.52,58.82,5.92,Organic,187.6,3330.78,274.97,1395.92
Sandy,7.4,59.53,33.74,44.81,3.13,24.65,Barley,Flowering,30.96,82.9,63.96,9.02,Organic,113.82,4097.16,281.07,1368.63
Sandy,6.64,61.16,35.77,48.24,2.77,21.69,Soybean,Vegetative,28.46,123.9,80.07,6.38,Organic,132.04,3715.31,155.06,1870.73
Clay,6.11,60.78,33.9,37.29,2.81,22.62,Soybean,Maturity,29.94,145.3,83.5,6.41,Mixed,208.45,3171.6,294.94,1951.36
Loamy,6.49,69.91,27.27,41.79,3.25,23.63,Maize,Maturity,24.39,52.58,51.99,7.66,Mixed,189.51,4132.22,253.89,1611.26
Sandy,6.5,32.86,31.15,43.76,3.19,34.82,Oats,Maturity,31.41,112.68,82.91,6.86,Organic,247.32,3032.19,298.3,1211.87
Clay,5.55,69.29,38.55,46.63,1.63,15.06,Rice,Maturity,34.15,57.28,74.44,9.21,Mixed,152.52,2854.06,177.62,1694.88
Loamy,6.21,68.01,27.75,33.96,2.66,23.52,Soybean,Fruit development,27.26,70.22,66.93,7.27,Organic,178.97,2706.51,273.08,1389.83
Sandy,6.98,64.09,25.05,41.4,2.33,16.3,Maize,Germination,21.81,104.44,58.53,9.28,Mixed,249.92,3860.22,262.17,1544.0
Sandy,6.52,48.17,30.39,44.81,2.7,28.46,Oats,Germination,29.3,129.39,59.93,5.04,Inorganic,106.09,3062.35,296.94,1775.59
Clay,5.99,64.84,25.95,33.98,3.23,16.01,Rice,Vegetative,25.12,93.56,73.25,9.04,Inorganic,190.83,3320.15,167.51,1234.34
Loamy,6.17,38.83,25.24,39.45,1.52,30.34,Corn,Vegetative,26.29,137.95,64.72,5.15,Mixed,246.48,4337.25,271.64,1691.92
Loamy,7.23,61.67,35.58,39.29,1.52,32.36,Corn,Maturity,22.27,121.58,51.1,9.35,Inorganic,142.34,3424.8,231.57,1350.5
Sandy,6.55,37.41,37.82,46.79,1.63,34.42,Corn,Maturity,29.39,69.37,83.81,9.76,Mixed,100.41,2961.31,224.9,1578.84
Sandy,6.56,62.61,30.05,45.55,3.25,17.42,Soybean,Flowering,31.81,118.62,73.3,9.43,Mixed,136.07,3946.73,164.84,1534.3
Sandy,7.42,54.58,35.6,34.64,2.21,34.58,Rice,Germination,31.5,81.84,77.62,9.45,Mixed,172.83,3997.51,214.48,1456.89
Loamy,6.14,33.92,23.74,34.66,2.24,23.25,Barley,Maturity,34.91,126.67,72.51,7.77,Organic,120.07,4480.72,227.82,1293.41
Clay,6.46,65.81,30.95,44.47,2.19,27.65,Oats,Vegetative,23.18,73.06,74.99,9.73,Mixed,183.3,2730.78,207.11,1578.63
Clay,7.12,53.12,32.72,44.79,1.96,15.0,Rice,Vegetative,33.71,64.45,51.37,5.6,Organic,212.14,3058.67,208.39,1675.84
Loamy,7.02,56.25,29.81,33.58,1.58,22.41,Corn,Vegetative,30.99,113.77,63.62,5.56,Mixed,122.89,2903.86,190.32,1667.75
Clay,6.03,41.34,22.34,38.22,3.31,22.06,Wheat,Flowering,30.61,111.66,82.74,6.38,Organic,158.31,3611.56,286.78,1807.94
Sandy,5.8,64.87,34.68,46.52,1.97,25.08,Rice,Maturity,30.26,107.35,83.49,7.73,Mixed,169.16,4367.3,195.74,1454.87
Clay,6.9,51.81,36.78,31.59,3.29,17.65,Rice,Maturity,28.08,74.32,82.18,5.84,Inorganic,196.74,3631.02,183.95,1990.8
Clay,6.02,46.84,32.7,37.48,3.41,28.8,Maize,Maturity,25.68,70.6,84.96,9.39,Inorganic,198.54,2995.58,295.02,1505.17
Clay,7.35,51.37,23.38,42.89,2.65,26.91,Corn,Flowering,34.15,141.24,52.47,6.3,Organic,181.13,3292.28,151.25,1210.6
Sandy,5.76,58.13,21.49,45.42,2.24,19.25,Oats,Maturity,22.27,103.27,52.23,9.57,Mixed,106.19,4046.12,267.58,1371.22
Loamy,6.14,57.8,26.03,43.05,3.03,34.67,Wheat,Germination,22.64,90.65,82.65,6.43,Inorganic,176.24,3519.21,183.7,1569.42
Sandy,5.61,44.3,20.74,37.95,1.55,15.11,Maize,Maturity,20.25,131.95,51.06,5.69,Mixed,104.91,2917.81,184.54,1618.22
Loamy,6.91,45.41,36.78,49.84,3.36,21.72,Wheat,Maturity,31.09,55.08,80.98,8.71,Organic,226.93,3892.77,265.69,1635.13
Loamy,7.28,52.49,34.06,30.83,2.32,20.23,Barley,Vegetative,33.41,117.6,80.65,5.26,Inorganic,210.59,3895.51,200.97,1899.94
Loamy,6.77,66.98,31.27,39.9,2.12,26.2,Wheat,Maturity,22.79,64.74,68.94,8.89,Organic,167.99,4421.18,269.05,1460.83
Clay,7.38,59.82,37.79,40.2,1.75,32.77,Barley,Fruit development,20.52,72.61,80.81,9.67,Organic,184.07,4207.39,232.44,1807.95
Clay,5.76,45.62,22.2,34.8,3.41,28.16,Wheat,Flowering,23.66,113.95,74.07,6.16,Organic,160.16,4195.34,266.78,1680.43
Loamy,5.68,43.48,34.29,41.17,3.12,15.95,Soybean,Vegetative,33.26,77.97,56.0,9.07,Organic,213.72,4304.09,160.95,1454.12
Loamy,7.18,50.95,22.93,34.4,2.95,32.27,Rice,Flowering,20.24,127.8,79.54,9.59,Organic,243.43,3749.8,258.98,1780.06
Clay,7.21,64.8,21.22,38.87,3.36,20.3,Rice,Fruit development,21.52,101.86,64.04,6.62,Organic,212.02,3455.65,239.08,1423.12
Sandy,7.16,30.35,22.66,38.63,3.42,17.21,Maize,Vegetative,20.37,82.3,57.6,8.9,Inorganic,167.17,2595.8,275.62,1527.06
Loamy,7.1,58.42,39.02,45.46,2.04,23.65,Oats,Vegetative,34.15,136.46,84.2,5.5,Organic,119.3,3289.5,177.87,1498.72
Sandy,6.22,41.78,28.81,48.85,3.07,32.97,Barley,Fruit development,22.03,112.88,73.97,9.33,Mixed,142.18,3499.92,232.94,1216.63
Clay,5.93,38.34,20.98,34.06,3.03,15.69,Wheat,Fruit development,33.51,92.13,56.48,7.33,Mixed,185.32,4387.05,245.0,1258.8
Loamy,7.36,30.49,31.67,49.83,2.61,27.51,Oats,Germination,27.1,95.34,80.47,6.24,Organic,105.16,3586.95,155.13,1279.35
Sandy,6.11,65.86,23.99,48.81,1.8,21.65,Wheat,Vegetative,25.92,76.86,78.87,7.63,Inorganic,193.49,3690.22,253.47,1819.27
Sandy,6.3,66.49,20.14,32.25,3.38,27.45,Rice,Flowering,26.4,60.85,53.61,6.29,Inorganic,146.05,3766.12,239.3,1509.08
Sandy,6.9,32.46,35.17,48.25,2.13,20.33,Barley,Maturity,26.28,80.26,54.43,8.99,Inorganic,129.74,4342.79,222.45,1702.85
Clay,6.09,50.87,23.1,41.29,2.66,34.34,Wheat,Fruit development,25.13,76.43,57.83,6.61,Organic,184.26,3288.64,163.43,1921.89
Clay,7.14,36.1,38.85,47.58,1.54,17.28,Oats,Germination,32.16,83.57,81.49,5.37,Mixed,173.6,4329.76,262.93,1618.73
Sandy,5.64,60.35,31.86,48.91,2.36,18.16,Wheat,Fruit development,27.62,96.92,75.38,5.18,Inorganic,161.66,3662.46,256.65,1880.29
Sandy,7.08,56.62,21.74,47.18,2.73,15.91,Oats,Flowering,34.86,56.3,81.55,6.3,Inorganic,143.1,2611.65,227.51,1956.92
Clay,6.7,41.89,24.36,38.06,2.26,30.9,Wheat,Maturity,27.77,60.6,79.57,7.66,Mixed,153.84,3306.94,180.02,1356.14
Sandy,6.65,34.68,32.22,42.74,2.45,16.88,Corn,Maturity,32.28,122.94,68.65,8.18,Inorganic,135.32,2674.02,210.38,1850.38
Sandy,6.42,63.25,26.76,39.3,1.88,20.53,Corn,Fruit development,31.18,68.34,51.78,7.53,Inorganic,244.27,2920.1,231.74,1787.58
Clay,6.05,56.97,30.64,37.33,2.2,19.11,Oats,Maturity,26.02,83.9,75.23,8.49,Organic,209.8,3223.65,221.99,1936.39
Sandy,6.43,30.27,35.99,35.01,2.95,22.07,Corn,Maturity,31.83,113.69,71.59,8.41,Organic,142.75,4423.13,199.56,1704.36
Sandy,6.4,55.11,35.85,38.83,3.44,30.32,Barley,Flowering,22.32,147.69,58.13,7.87,Organic,187.22,3675.18,190.21,1787.49
Sandy,6.67,62.41,33.96,46.12,2.44,34.0,Barley,Fruit development,23.05,63.3,82.36,8.41,Inorganic,138.6,4466.51,185.39,1464.33
Clay,6.06,53.63,37.72,46.88,2.87,32.58,Maize,Germination,29.28,125.74,74.04,9.31,Mixed,108.7,3113.41,198.58,1357.3
Sandy,5.66,46.99,23.99,49.16,3.45,31.82,Wheat,Germination,30.67,99.13,78.09,5.2,Mixed,148.9,3837.17,211.8,1549.27
Clay,5.79,53.36,23.54,35.81,3.05,23.35,Oats,Vegetative,29.66,59.38,77.16,9.16,Inorganic,120.19,3594.9,249.9,1784.66
Clay,6.9,54.79,35.99,43.01,1.52,31.04,Corn,Flowering,27.64,66.9,54.44,6.78,Organic,212.59,3281.87,152.22,1661.72
Loamy,5.54,55.6,26.42,43.88,3.37,30.54,Corn,Fruit development,22.06,119.42,59.79,6.53,Mixed,240.83,4316.25,269.02,1394.1
Loamy,7.21,68.68,30.24,33.83,3.23,19.95,Oats,Maturity,25.59,137.95,76.65,9.32,Inorganic,142.56,3440.44,164.41,1456.33
Sandy,6.89,37.15,34.88,37.34,2.04,20.25,Oats,Flowering,29.07,51.21,70.43,8.03,Mixed,238.74,3286.04,175.33,1877.62
Clay,7.04,54.92,27.92,36.85,1.86,24.98,Soybean,Fruit development,23.39,72.28,54.37,5.29,Organic,217.46,2983.27,239.66,1840.19
Loamy,7.17,37.52,22.6,49.72,3.3,34.27,Maize,Fruit development,29.57,85.8,64.82,5.95,Organic,210.69,3985.06,156.24,1724.51
Sandy,5.75,38.4,33.59,49.17,2.88,17.16,Corn,Flowering,23.51,148.88,58.37,9.68,Mixed,109.04,3724.87,276.17,1711.3
Loamy,7.14,56.77,36.34,46.44,1.97,34.77,Corn,Flowering,21.47,115.22,76.16,7.06,Inorganic,149.84,2984.44,266.94,1632.95
Loamy,6.51,66.64,20.26,39.46,2.93,18.18,Corn,Flowering,24.87,86.08,54.82,6.36,Mixed,191.08,4141.17,258.86,1479.57
Clay,7.27,36.36,31.25,35.28,2.7,24.71,Soybean,Vegetative,24.09,70.17,71.46,5.99,Organic,233.21,4397.12,171.93,1658.63
Clay,7.27,68.5,29.39,48.32,2.12,21.08,Soybean,Maturity,32.16,72.68,50.98,7.78,Organic,147.58,3878.29,191.59,1408.49
Loamy,5.55,42.77,25.19,35.36,2.61,23.4,Maize,Flowering,27.25,54.95,74.18,9.84,Inorganic,176.05,3343.74,266.16,1485.83
Loamy,6.27,45.65,23.22,40.44,2.55,34.16,Wheat,Vegetative,20.96,149.47,53.13,5.67,Mixed,195.46,4083.13,214.35,1979.77
Clay,6.55,36.15,23.76,34.9,2.52,27.64,Wheat,Germination,32.23,148.22,54.5,6.2,Organic,124.49,3608.36,221.55,1749.77
Sandy,6.86,54.63,34.5,49.43,2.53,20.95,Barley,Vegetative,24.03,51.12,66.78,7.48,Mixed,169.12,2555.8,172.06,1203.81
Clay,6.07,53.86,30.72,30.84,1.5,27.57,Oats,Maturity,28.52,77.08,50.38,6.08,Inorganic,194.55,3809.28,289.85,1547.17
Loamy,6.0,47.69,39.62,33.49,2.04,24.04,Maize,Germination,28.12,52.04,84.23,10.0,Mixed,118.39,4019.85,298.13,1736.39
Sandy,6.26,49.04,24.86,45.3,2.36,33.87,Barley,Flowering,34.57,80.17,59.46,7.05,Mixed,130.4,3078.61,259.55,1826.58
Loamy,6.5,54.92,39.14,33.03,1.75,22.06,Wheat,Flowering,23.82,140.13,50.17,7.2,Mixed,113.75,3095.24,259.62,1725.15
Sandy,7.4,53.34,30.3,49.59,3.0,26.69,Rice,Flowering,22.18,137.48,80.25,6.1,Inorganic,191.95,3158.09,177.4,1957.66
Loamy,7.02,44.97,22.92,36.43,3.19,31.99,Barley,Flowering,23.88,118.49,52.33,8.98,Organic,227.91,3858.3,206.82,1447.06
Sandy,6.36,65.36,22.96,48.37,3.14,34.18,Wheat,Germination,28.65,148.71,80.6,7.33,Mixed,162.18,2946.43,196.56,1936.81
Sandy,5.61,56.71,32.17,43.25,2.42,30.98,Soybean,Vegetative,23.26,124.6,77.96,8.24,Inorganic,185.94,3919.22,172.18,1687.66
Loamy,5.84,38.22,36.63,42.68,2.88,33.71,Soybean,Vegetative,25.11,74.14,54.24,5.87,Organic,241.38,2728.82,193.12,1253.57
Sandy,6.41,42.8,34.95,48.31,1.65,24.28,Corn,Fruit development,29.87,133.49,53.96,5.65,Inorganic,244.03,3528.34,283.73,1886.48
Clay,7.13,61.52,33.11,40.27,1.9,30.29,Soybean,Vegetative,21.75,100.79,75.99,7.8,Mixed,187.14,4010.72,199.47,1727.47
Loamy,6.26,34.18,23.44,38.02,1.59,16.89,Rice,Vegetative,34.18,100.4,77.48,5.89,Organic,191.62,3835.48,190.18,1206.38
Clay,6.58,60.01,22.17,34.35,3.43,26.88,Rice,Vegetative,27.99,133.29,63.15,7.58,Inorganic,179.2,3746.39,249.84,1970.77
Loamy,7.28,44.35,20.0,32.89,2.65,15.27,Oats,Vegetative,27.25,103.43,80.67,10.0,Inorganic,150.16,3965.27,186.85,1479.43
Sandy,7.33,52.07,22.04,45.84,1.85,20.2,Rice,Vegetative,25.45,82.73,56.95,7.21,Inorganic,128.73,2743.23,285.64,1304.83
Sandy,5.93,41.22,35.33,32.56,2.92,28.31,Corn,Germination,23.68,142.87,71.38,5.12,Inorganic,163.25,3558.86,178.95,1203.02
Sandy,5.59,69.46,37.9,37.88,2.48,18.43,Wheat,Maturity,27.25,57.36,64.54,8.17,Organic,244.55,4147.4,291.31,1788.74
Loamy,6.11,66.23,24.81,38.18,2.37,19.0,Oats,Maturity,27.29,115.78,61.68,6.29,Mixed,173.39,3376.7,262.53,1760.25
Clay,6.89,67.14,35.9,43.29,3.33,16.23,Corn,Fruit development,20.84,128.54,68.81,9.7,Organic,155.27,2958.54,241.19,1907.41
Clay,7.4,37.39,23.98,35.57,2.92,29.95,Soybean,Vegetative,32.71,55.12,60.6,6.17,Mixed,198.27,2684.17,209.93,1706.5
Loamy,5.65,63.67,24.99,46.76,2.88,23.96,Rice,Flowering,32.31,73.44,57.8,9.66,Mixed,189.82,4188.14,192.91,1780.2
Loamy,5.56,51.42,24.48,34.15,1.69,32.76,Oats,Maturity,26.72,72.32,68.92,5.09,Organic,168.88,4378.02,247.12,1962.95
Clay,7.27,58.31,21.03,45.78,1.68,22.25,Corn,Flowering,25.05,138.93,68.46,9.89,Inorganic,190.56,3754.02,188.69,1254.27
Clay,7.0,38.7,23.88,47.0,2.83,23.71,Barley,Fruit development,27.48,115.03,78.37,6.37,Inorganic,201.28,2515.31,261.94,1976.95
Clay,7.48,58.48,27.47,33.86,1.81,24.9,Corn,Flowering,23.32,71.69,72.77,8.91,Mixed,216.81,2592.95,294.94,1204.94
Clay,6.29,66.57,28.11,46.19,2.41,32.22,Oats,Vegetative,20.01,140.98,61.71,7.33,Organic,150.93,2843.9,191.97,1624.15
Loamy,6.33,40.7,26.19,44.27,2.64,20.84,Rice,Vegetative,25.31,74.37,74.06,6.85,Inorganic,110.76,2522.24,221.47,1394.61
Loamy,5.84,39.33,30.29,47.49,2.28,16.03,Maize,Germination,20.27,116.2,54.08,9.79,Mixed,241.98,3537.9,213.76,1286.74
Sandy,5.73,34.18,27.56,40.2,1.67,27.54,Rice,Vegetative,20.61,95.24,56.35,9.71,Mixed,144.58,3055.3,219.95,1383.47
Clay,6.66,40.67,39.41,34.68,2.99,31.51,Maize,Maturity,20.44,59.76,70.52,8.02,Inorganic,182.75,2871.55,213.2,1934.31
Sandy,6.23,51.43,36.15,48.24,3.27,26.13,Rice,Vegetative,33.2,125.32,69.49,9.7,Organic,188.12,3304.28,220.49,1489.31
Loamy,5.66,63.31,38.62,45.8,1.82,21.41,Wheat,Vegetative,22.15,82.77,68.56,8.94,Organic,113.83,2823.97,173.36,1754.47
Loamy,7.27,41.15,31.15,30.42,3.21,27.61,Maize,Flowering,23.82,86.0,72.2,6.82,Mixed,208.52,3677.14,190.07,1339.62
Sandy,5.9,54.85,33.57,48.79,3.08,34.82,Maize,Fruit development,27.35,71.46,55.4,9.48,Inorganic,124.97,2654.63,274.66,1719.38
Clay,7.0,49.18,23.33,48.97,2.63,26.48,Barley,Vegetative,27.94,130.43,78.04,6.79,Inorganic,212.54,3000.79,175.36,1734.7
Clay,6.06,41.54,35.06,37.11,2.69,21.3,Corn,Maturity,21.83,66.0,80.64,9.73,Organic,126.37,2680.34,208.48,1265.57
Clay,7.13,50.41,24.72,30.2,2.8,19.87,Maize,Fruit development,33.64,71.82,68.24,7.58,Inorganic,146.4,4295.71,168.27,1471.77
Clay,5.74,36.72,22.92,41.05,2.55,34.96,Soybean,Vegetative,23.47,90.67,73.97,8.69,Mixed,149.72,3128.8,152.26,1970.98
Sandy,7.01,55.58,20.84,48.27,3.19,32.01,Corn,Fruit development,34.14,64.88,78.69,8.19,Inorganic,231.07,4008.87,255.76,1597.09
Sandy,5.7,34.63,29.44,32.49,2.45,20.59,Oats,Maturity,23.85,61.28,72.76,8.67,Mixed,126.12,2758.02,211.49,1906.42
Loamy,6.39,59.24,25.74,41.81,2.59,20.25,Corn,Flowering,20.04,102.17,65.21,5.9,Inorganic,196.42,4048.98,288.92,1474.55
Clay,6.97,37.11,39.73,44.64,1.57,31.07,Barley,Flowering,34.58,145.36,73.91,9.45,Mixed,162.6,3469.24,263.71,1770.99
Clay,5.85,69.93,25.0,32.69,1.86,34.85,Oats,Germination,27.26,130.18,82.58,9.11,Inorganic,139.56,3990.45,279.19,1488.92
Clay,6.07,62.95,37.33,40.27,3.31,24.31,Oats,Maturity,33.18,67.71,60.03,8.15,Inorganic,107.62,3475.83,200.28,1625.64
Sandy,7.23,43.75,26.33,31.78,1.74,19.55,Wheat,Vegetative,31.02,108.76,78.04,6.06,Mixed,214.28,2843.71,246.99,1999.61
Clay,7.27,47.05,34.98,41.16,3.31,19.61,Corn,Vegetative,22.69,129.36,84.91,7.87,Inorganic,126.36,2759.38,153.69,1544.39
Sandy,5.59,40.37,33.2,38.84,2.77,30.95,Oats,Germination,32.68,64.49,76.7,7.18,Mixed,247.15,2943.49,253.94,1398.42
Clay,5.84,60.68,31.24,35.29,3.34,27.1,Oats,Maturity,20.77,58.19,60.88,5.09,Organic,167.5,3429.17,210.1,1733.98
Clay,5.73,45.23,28.34,47.06,3.13,27.68,Corn,Fruit development,27.61,139.11,54.27,9.62,Inorganic,123.59,3487.95,196.5,1218.2
Loamy,5.86,60.21,33.42,37.64,3.23,18.89,Soybean,Fruit development,23.81,74.5,69.06,8.85,Organic,109.59,3479.99,284.64,1459.39
Clay,7.44,30.74,28.15,44.0,2.55,17.61,Corn,Flowering,25.42,99.79,54.07,9.49,Mixed,184.86,3703.74,299.21,1766.64
Clay,6.6,35.42,30.96,45.81,3.15,15.21,Maize,Fruit development,31.36,70.87,66.16,8.02,Inorganic,155.63,2738.33,248.51,1520.47
Loamy,6.44,44.6,31.8,33.57,2.42,33.3,Barley,Fruit development,30.25,54.77,61.78,6.66,Mixed,183.8,4215.18,194.32,1838.62
Sandy,7.47,34.36,25.35,32.38,1.59,22.1,Oats,Maturity,26.6,101.32,66.65,7.2,Inorganic,224.31,4227.39,283.3,1608.45
Sandy,6.61,54.05,26.79,30.16,2.8,30.16,Barley,Maturity,20.69,93.51,61.02,9.15,Organic,206.62,3741.7,273.96,1281.4
Clay,6.82,32.03,20.36,36.12,2.96,32.69,Wheat,Germination,20.6,122.65,79.57,6.0,Inorganic,224.06,4141.2,287.86,1838.96
Sandy,6.17,64.39,37.04,46.32,1.7,26.97,Barley,Maturity,30.53,135.74,65.3,5.76,Organic,127.43,2895.49,200.13,1968.95
Clay,6.26,60.45,35.12,45.46,3.13,23.49,Barley,Germination,34.23,64.16,53.67,5.5,Inorganic,183.67,3495.43,183.78,1257.46
Loamy,6.69,38.65,23.67,47.44,1.65,15.77,Soybean,Germination,32.71,67.16,72.6,5.5,Organic,235.01,2764.16,227.18,1984.45
Loamy,5.64,49.35,27.24,45.21,2.38,21.74,Barley,Vegetative,21.83,145.03,77.24,7.43,Mixed,101.98,3628.57,294.73,1439.81
